"govnr","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
207803,0.0853046995929609,0.239417191925083,0.569228804457947,0.0842464567254088,0.0400380480354169,0.860732573186936,0.0832304032521437,0.134595946561333,0.782173650186522
209387,0.0789543978538848,0.255808114674337,0.552944039486358,0.0794246708654952,0.0632428327558005,0.845647488175939,0.0801920880359845,0.137773904702735,0.782034007261279
207811,0.102019703936541,0.254094893404773,0.531072808059732,0.102093649822047,0.0602009357082664,0.82323763606729,0.102496420483556,0.157423944458023,0.740079635058419
207134,0.215405235654806,0.239229941228898,0.463508039525224,0.212907072004655,0.062077696422728,0.712287126742568,0.193289953898212,0.23694398833142,0.569766057770368
209197,0.0436775676131144,0.223837495768965,0.634490887547905,0.0420028079412448,0.0198273368253067,0.931248605749879,0.0416729456724814,0.0634429867085279,0.894884067618989
207829,0.0607456416618202,0.222168462794718,0.616555637175883,0.0593284167743181,0.023344981894739,0.908383939018109,0.0592480094382136,0.0806721823195926,0.860079808242193
207837,0.0506809006858635,0.229925667259987,0.619062453875478,0.049019811584351,0.0281100101967745,0.912369409850113,0.0488618731670696,0.080063696896234,0.871074429936695
207845,0.082764072515109,0.224310075166101,0.583553788319312,0.0822698019264291,0.03038312888119,0.879999060428092,0.0806947341327462,0.109184630896698,0.810120634970555
214312,NA,NA,NA,NA,NA,NA,NA,NA,NA
207852,0.075824035512848,0.230391500527933,0.594022122821611,0.0733232780168152,0.0291158349081542,0.8863063116504,0.0724874923484762,0.100859563386864,0.826652944264659
207860,0.0610383072331712,0.261138209688034,0.577799259230769,0.0589985704966078,0.0614104139390338,0.856576519779078,0.0581951752581393,0.153446067173937,0.788358757567922
209502,0.076095833275353,0.262554055702198,0.555516120282568,0.0740299239007521,0.0722123547608912,0.840890994618425,0.0747793759532698,0.153530653776204,0.771689970270564
207357,0.208481839165073,0.236110939423485,0.455962325204536,0.207103348485162,0.0667134170140781,0.708795684718739,0.202981545548276,0.21780517690707,0.579213277544653
214304,NA,NA,NA,NA,NA,NA,NA,NA,NA
209361,0.0880717142177416,0.236300134258864,0.565569160074361,0.0875997782371123,0.042888974015955,0.859859828233889,0.0863470527322088,0.133372158326809,0.780280788940981
209536,0.211730516259752,0.424034266474144,0.22104430357678,0.21490387006513,0.255439080378157,0.457599095345577,0.207851184238206,0.629327487906827,0.162821327854967
208868,0.13383361832955,0.294539251134185,0.419576737835715,0.134369273420021,0.132745414846467,0.656332966386256,0.139369031035404,0.404332665601342,0.456298303363253
207894,0.0771742456488824,0.25239271085686,0.560367550802694,0.0765242747911299,0.0572461289755455,0.849868975031504,0.0751059430754658,0.16501409089675,0.759879966027783
208793,0.097559302997895,0.212699195935352,0.594868501052234,0.0902415590246693,0.0647345963919595,0.807775737428232,0.0869888151831159,0.169422584295642,0.743588600521194
209445,0.0892078879877193,0.235395150613111,0.570556654432083,0.0875459990502893,0.0407565322852723,0.856432352637789,0.0855385028664628,0.128939689056867,0.785521808076668
207902,0.0679932315422985,0.234977397605203,0.595199952208214,0.0657752992180513,0.0364803852752913,0.884146401526423,0.0642873898548833,0.10714635167607,0.828566258469045
207910,0.0809973419939196,0.243321290026363,0.571496967958171,0.0789380882971892,0.0471783033788444,0.857043086090074,0.0774269763797725,0.144528429521971,0.778044594098255
208777,0.0943279346155883,0.157447503291064,0.65933399125002,0.0822189329964469,0.0350804635665585,0.867641077280445,0.0818201806811395,0.101529280260181,0.816650539058676
207951,0.125226654863523,0.252580999104466,0.503584362650194,0.12677436219531,0.0538509567679743,0.804721988647537,0.12456072322469,0.178641119237442,0.696798157537867
207936,0.092663889368129,0.270226479675271,0.524362887631252,0.0912645206426228,0.0690536403613036,0.818910044974943,0.091663925749965,0.184682328926141,0.723653745323892
207944,0.107620793054652,0.277197399046201,0.503191940708953,0.10674324816032,0.0780240911953313,0.790479248801306,0.106703968217989,0.205312213749432,0.687983818032577
