"sta_code_h3","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas","varSeas_fourier","varInterannual_fourier","varRem_fourier"
"B222001001",0.282465003167771,0.225285830242394,0.396591720153195,0.28901319341444,0.0633497302392253,0.637079868851188,0.285730087556775,0.184235850444662,0.530034061998577
"B315002001",0.35494044182414,0.234474113798361,0.318636526259091,0.365077486951406,0.0924883058000553,0.526164291409813,0.359878168104054,0.246015983142523,0.394105848753436
"B403101001",0.241474749390909,0.20917593086843,0.454259314569094,0.241741576547234,0.0763313154769761,0.670078664840155,0.24263035076288,0.170450323423214,0.586919325813887
"B413201001",0.348340429876709,0.216324000148661,0.337267824332938,0.364105831683348,0.091724636144816,0.520889372422889,0.362598011631924,0.234642003711657,0.402759984656418
"B422431001",0.235469700853705,0.212832691688934,0.450907201407453,0.239317061633763,0.0751816771564243,0.675754143664528,0.251677594522437,0.208857452027105,0.539464953450741
"B457201001",0.235095697743289,0.18706612989689,0.478862376915669,0.214508764475421,0.0434908843964931,0.739517997932895,0.239490299504142,0.102499379866669,0.658010320629209
"B460101001",0.290829707311518,0.214110954129105,0.40430510652189,0.286245739171613,0.0846889918394653,0.615788866829422,0.294697809710164,0.181785174839597,0.523517015450232
"B463101001",0.340340844310173,0.220370819789413,0.355138066346892,0.344292419656163,0.107532131697223,0.532317930690885,0.336469662121336,0.21180360134064,0.451726736538091
"B532201001",0.214647458739819,0.225572587755101,0.478793664933616,0.230461131260595,0.0622129021104312,0.700920454964677,0.217553743262275,0.169740061021417,0.612706195716316
"B611101001",0.258664879733768,0.191363255619513,0.472453143043567,0.291329065641725,0.0455990467511528,0.658484083579869,0.260422156059687,0.133032966562295,0.606544877378018
"B720000002",0.400926830191798,0.185820340197847,0.337957285187155,0.384938994185477,0.0830581083034942,0.515104487831674,0.39732895220656,0.189180307739429,0.41349074005401
"D020601001",0.234722112782304,0.233103792388979,0.459108450562913,0.227279282910494,0.097538380919266,0.65817770523298,0.227054041670429,0.19737467038124,0.575571287948382
"E172751001",0.248891009670567,0.281669260867744,0.377269634423766,0.16310269191956,0.235441039328265,0.573902678181899,0.248473746444206,0.244345226594752,0.507181026961039
"E334602001",NA,NA,NA,0.198552782349962,0.107237782105815,0.697389679906532,NA,NA,NA
"E403571001",0.255837636797327,0.440850105962877,0.195763202839611,0.291441007180094,0.242268203116003,0.411245044734529,0.262610723947915,0.535382322750287,0.202006953301776
"E430601001",0.334555750811435,0.23645725669652,0.364767911874385,0.320034159650087,0.120945857203132,0.533981719687973,0.324797284567482,0.220479200614492,0.454723514818026
