"grdc_no","varSeas_stl","varInterannual_stl","varRem_stl","varSeas_clas","varInterannual_clas","varRem_clas"
2260120,0.796715654258812,0.0603081113723225,0.12581186126627,0.786669301056151,0.0203088872696053,0.187498780261362
2260400,0.816297751856806,0.045386036410864,0.117939809679889,0.812975719460998,0.0137508106971236,0.164657882647116
2260500,0.794582667389496,0.0582515814355906,0.126725889448523,0.774725086478405,0.0401822667771698,0.177626644679726
2260600,0.844316320092098,0.0522236825753626,0.090333241323372,0.834257867419345,0.0243499242691914,0.129792763095594
2260700,0.847874932894283,0.0425125294518186,0.0935297471995664,0.840444710218128,0.0179277072363784,0.132013702353894
2261500,0.617506398447353,0.184728366781686,0.156827918465617,0.640739226138156,0.0784252469772743,0.269280643698178
2261510,0.734630481402944,0.0801393917028415,0.139669561190814,0.658016081321766,0.101354504851343,0.229041167227184
2263100,0.619872556267351,0.101017440243079,0.219146473124422,0.644598423067885,0.0186013997650506,0.337295908653571
2311104,0.635349973352882,0.128357131872417,0.188194572696695,0.654198368447868,0.0529703764732697,0.290896932876112
2311109,0.729060493150752,0.10726273216997,0.140949473474757,0.719349797225642,0.0546854047401955,0.219155704047685
2311206,NA,NA,NA,NA,NA,NA
2311300,NA,NA,NA,NA,NA,NA
2311800,0.659835538039223,0.059126234115843,0.224325360931182,NA,NA,NA
2311900,0.42621098281254,0.0531831104504624,0.464141825411806,NA,NA,NA
2313500,NA,NA,NA,NA,NA,NA
2314400,0.864346366333873,0.0349705463272523,0.0521178237225875,NA,NA,NA
2314500,0.558518043662865,0.120083885941652,0.201876222283322,NA,NA,NA
2314600,0.765324462588705,0.0534278811798345,0.121901083077762,NA,NA,NA
2316200,0.246652239320495,0.566913572146503,0.120239576538566,0.25771591207932,0.463948631959023,0.255931068681624
2319200,0.459359911936805,0.187250564896245,0.29126296208214,0.388924962620879,0.0704069415676402,0.534849068533469
2357750,0.210920334627973,0.127285357226406,0.566738985334704,0.173084678439431,0.0237669919285196,0.804157756548857
2369010,NA,NA,NA,NA,NA,NA
2369800,NA,NA,NA,0.3634051619272,0.0332165464044127,0.58588519215178
2369900,NA,NA,NA,NA,NA,NA
2369901,NA,NA,NA,NA,NA,NA
2369902,NA,NA,NA,NA,NA,NA
2369904,NA,NA,NA,NA,NA,NA
2369905,NA,NA,NA,NA,NA,NA
2369907,0.551609220188288,0.0951939933160151,0.332519159835512,NA,NA,NA
2370502,NA,NA,NA,NA,NA,NA
2370510,NA,NA,NA,NA,NA,NA
2371100,NA,NA,NA,NA,NA,NA
2371150,NA,NA,NA,NA,NA,NA
2371200,NA,NA,NA,NA,NA,NA
2371300,NA,NA,NA,NA,NA,NA
2371400,NA,NA,NA,NA,NA,NA
2371450,NA,NA,NA,NA,NA,NA
2371600,NA,NA,NA,NA,NA,NA
2372102,NA,NA,NA,NA,NA,NA
2372103,NA,NA,NA,NA,NA,NA
2372200,NA,NA,NA,NA,NA,NA
2372201,NA,NA,NA,NA,NA,NA
2415400,0.281381437788654,0.310607125579773,0.179648366058162,NA,NA,NA
2415800,0.633193744341848,0.0759937630815571,0.192416675272174,NA,NA,NA
2415900,NA,NA,NA,NA,NA,NA
2416680,0.649187102704235,0.089219097919269,0.13491016415482,NA,NA,NA
2416850,0.692262608358501,0.139008174818656,0.146628424853075,0.640747497483084,0.0810158363710185,0.262699959730087
2418700,NA,NA,NA,NA,NA,NA
2421200,0.304534017677441,0.273752973533788,0.398081172846569,0.209903071718203,0.142450297228657,0.637787149004815
2421300,0.0886585831473861,0.226268181955244,0.582439415108362,0.0818267684135678,0.0445103400090792,0.869266837929938
